DATE,VA
2017-05-21,8824707.4
2017-05-22,11356958.0
2017-05-23,9895929.05
2017-05-24,9334442.0
2017-05-25,6560799.15
2017-05-26,6404359.55
2017-05-27,5450308.25
2017-05-28,9159872.8
2017-05-29,13279996.2
2017-05-30,12125756.15
2017-05-31,11863988.85
2017-06-01,11130766.8
2017-06-02,10371299.93
2017-06-03,6933793.6
2017-06-04,7117020.05
2017-06-05,11503158.73
2017-06-06,13118597.8
2017-06-07,12986722.3
2017-06-08,12123555.15
2017-06-09,11563922.35
2017-06-10,7030554.75
2017-06-11,9656694.65
2017-06-12,13192023.8
2017-06-13,11953904.4
2017-06-14,11499760.4
2017-06-15,10806530.1
2017-06-16,9728711.38
2017-06-17,7022176.85
2017-06-18,9856279.77
2017-06-19,13121432.15
2017-06-20,11635857.85
2017-06-21,10865293.85
2017-06-22,10572133.1
2017-06-23,9604728.4
2017-06-24,7175701.25
2017-06-25,10239672.1
2017-06-26,13437067.05
2017-06-27,12019926.95
2017-06-28,11737078.25
2017-06-29,11306803.4
2017-06-30,10613924.5
